basin_id,latitude,longitude,length_km_river,perc_agricul,perc_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff,is_sk,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,utm_east_z33,utm_north_z33
ardalen,60.4764134985043,5.78769255899777,6.4,0.1,0.6,0.4,8.1,0.0,13.4,73.2,0.0,17.3,320.0,972.0,488.0,599.0,659.0,713.0,734.0,751.0,764.0,787.0,846.0,117.3,,1.0,671.679696969697,1133.2196969697,10.5535103293786,0.556092100073988,10.5789196310935,-3.7843082605775695,5314.0,6739941.0
bergsaai,59.3079158064286,8.19140782080692,8.5,0.0,7.4,1.0,7.4,0.0,50.0,34.1,0.0,15.5,614.0,1187.0,728.0,791.0,856.0,898.0,934.0,954.0,978.0,1010.0,1042.0,48.0,,1.0,329.566666666667,370.042424242424,3.44011698332365,0.37286436958229,10.133152173913,-6.40237071860309,112778.0,6594159.0
bergstoe,59.9145631556089,6.48140385239863,5.5,0.0,0.3,0.9,3.2,0.0,1.3,90.3,0.0,8.8,622.0,1353.0,764.0,823.0,874.0,923.0,976.0,1015.0,1071.0,1125.0,1186.0,102.5,,1.0,482.576060606061,894.372121212121,8.80999917033104,0.501884257770191,8.91317852437418,-5.64277367360645,24514.0,6672574.0
birkaas,61.217192872779,5.68996297562512,4.3,0.0,2.9000000000000004,1.3,3.5,0.0,14.4,76.8,0.0,3.0,506.0,915.0,558.0,608.0,651.0,688.0,708.0,730.0,748.0,770.0,811.0,112.09999999999998,,1.0,562.14,1020.71878787879,9.47521944744047,0.543217683541527,10.3262450592885,-4.15137676292814,1081.0,6822620.0
bjoergum,59.1034395194675,7.55583347430814,13.3,0.0,5.2,0.5,5.6,0.0,67.9,19.9,0.0,38.5,553.0,1214.0,678.0,740.0,778.0,808.0,841.0,866.0,892.0,924.0,990.0,25.9,,1.0,274.065757575758,354.596060606061,3.16053347714262,0.375104248473352,10.336231884058,-5.40058092679651,74172.0,6575360.0
bjoerndalen,60.7331203657275,6.18966137062269,6.2,0.0,0.0,0.1,1.3999999999999997,0.0,5.3,89.90000000000002,0.0,12.0,482.0,1425.0,724.0,844.0,923.0,974.0,1035.0,1084.0,1129.0,1172.0,1224.0,112.90000000000002,,1.0,507.591212121212,910.979090909091,8.78936198456816,0.543465675003893,8.98384387351779,-6.03071860308932,20523.0,6765333.0
blaadalselva,60.7637139744839,5.40669735767798,3.4,0.0,0.1999999999999999,10.9,12.5,0.0,33.4,51.1,0.0,5.6,272.0,705.0,273.0,306.0,353.0,385.0,416.0,458.0,503.0,564.0,624.0,119.8,,1.0,683.854848484849,1209.85575757576,10.8939044221356,0.569948935580183,11.9119631093544,-1.7252518468771,21425.0,6774692.0
bordalselva,62.7601889376023,7.66584559036197,2.6,0.0,4.9,0.1,0.3,0.0,40.2,43.8,0.0,6.3,301.0,1067.0,350.0,394.0,460.0,514.0,565.0,611.0,653.0,700.0,788.0,65.1,,1.0,405.507878787879,610.696666666667,6.034809590973201,0.471815690744872,10.9980072463768,-3.9260376091336497,126052.0,6980180.0
brekke,59.438665373332,11.2257349823844,47.2,25.6,3.1,0.1,2.7,0.0,65.8,0.0,0.7,463.0,37.0,323.0,111.0,118.0,124.0,135.0,143.0,157.0,175.0,193.0,216.0,14.0,,1.0,263.273636363636,307.118181818182,2.72625985231892,0.349453157231361,15.1007048748353,-2.32069509738079,286020.0,6594957.0
bruvollelva,64.273744607967,12.3037434307938,13.7,0.7,15.0,0.1,2.5,0.0,71.7,8.1,0.0,79.8,140.0,774.0,182.0,229.0,264.0,294.0,324.0,356.0,384.0,429.0,507.0,32.3,,1.0,300.747575757576,375.908484848485,3.96924334190658,0.463095528993521,12.1236725955204,-4.91384150436535,369456.0,7130296.0
buer,59.4345610020671,11.2891556035944,42.6,24.9,3.3,0.1,2.8,0.0,66.4,0.0,0.7,441.0,78.0,323.0,113.0,119.0,126.0,136.0,145.0,160.0,178.0,195.0,217.0,14.0,,1.0,263.324848484849,306.800909090909,2.72378826848088,0.349951867834871,15.0843807641634,-2.3332202820685004,289561.0,6594333.0
byrkjelo,61.7393631905994,6.52749184928117,15.6,2.2,0.8,2.2,3.9,23.7,15.4,50.5,0.0,112.0,264.0,1820.0,434.0,707.0,902.0,1022.0,1145.0,1281.0,1418.0,1535.0,1617.0,81.1,,1.0,263.324848484849,306.800909090909,2.72378826848088,0.349951867834871,15.0843807641634,-2.3332202820685,53331.0,6874164.0
byro,60.2120248911433,6.54721872911196,1.6,0.0,0.0,0.0,0.1,56.9,3.4,31.9,0.0,3.6,496.0,1643.0,880.0,1128.0,1301.0,1421.0,1486.0,1531.0,1567.0,1593.0,1622.0,105.0,,1.0,402.254242424242,804.558181818182,7.14837135982743,0.502873495940873,6.03403162055336,-9.16239422431162,32405.0,6705037.0
dahlefoss,64.4429228642249,10.9745448817934,19.2,0.4,6.6,4.6,7.8,0.0,46.5,32.9,0.0,75.1,51.0,610.0,110.0,135.0,173.0,210.0,244.0,285.0,337.0,391.0,465.0,41.2,,1.0,327.373636363636,536.449090909091,5.05328465942089,0.496303654293992,12.3626613965744,-2.72017797179315,306335.0,7152513.0
dalelva_fjaler,61.3362132035773,5.49310156532131,5.1,3.4,6.499999999999999,1.8,2.6,0.0,46.1,19.6,0.0,6.8,291.0,656.0,339.0,370.0,394.0,415.0,445.0,477.0,506.0,529.0,553.0,100.7,,1.0,549.496363636364,992.010303030303,8.99338753837219,0.538813846152098,11.851673254282,-1.8862760241773,7486.0,6837308.0
dalelva_masfjorden,60.8144330302611,5.5356131480701,3.9,0.0,0.0,0.6,4.6,0.0,10.3,84.9,0.0,6.0,312.0,833.0,521.0,581.0,621.0,651.0,683.0,712.0,738.0,758.0,783.0,142.7,,1.0,746.8303030303028,1386.79,12.7119762714677,0.581407004906412,10.6078227931489,-3.68782068502351,13633.0,6779293.0
deveggaae,60.2287297969416,8.82294561693576,8.2,0.0,19.9,0.0999999999999999,2.2,0.0,11.2,55.9,0.0,20.8,863.0,1394.0,946.0,972.0,1041.0,1126.0,1167.0,1194.0,1212.0,1221.0,1280.0,24.6,,1.0,273.559090909091,266.532121212121,2.53654774744877,0.332267644387971,8.77909090909091,-8.20821356615178,158173.0,6692903.0
doela,63.9464996121694,11.6754834241621,8.4,0.0,41.3,1.0,2.9,0.0,42.0,11.2,0.0,18.0,283.0,565.0,325.0,336.0,345.0,352.0,361.0,372.0,392.0,423.0,477.0,42.0,,1.0,318.415454545455,342.691818181818,3.54609723720236,0.4513062740021529,11.9505928853755,-4.52354600402955,337137.0,7095289.0
dokkelva,62.6756976009098,8.15734860126989,10.0,0.0999999999999998,1.8,0.1999999999999999,1.9,1.4,16.5,71.8,0.0,40.5,153.0,1705.0,527.0,632.0,729.0,794.0,866.0,922.0,1000.0,1105.0,1249.0,67.3,,1.0,435.7436363636361,517.826060606061,5.44671036256534,0.429802618344322,9.68555006587615,-6.1171524513096,150039.0,6968082.0
duvedalen,60.9590256192189,5.51525248153327,0.9,0.0,0.5,3.6000000000000005,11.4,0.0,11.0,77.1,0.0,5.0,411.0,848.0,560.0,603.0,654.0,671.0,697.0,727.0,748.0,766.0,795.0,151.0,,1.0,600.901515151515,1019.47696969697,9.16490417323488,0.562724905639362,10.5086067193676,-3.7966957689724703,12407.0,6795432.0
